instance_F10_C30__MU200__0.txt,2,Optimal,Proved,-238.515,84.9726,57,0,0,1036
instance_F10_C30__MU200__0.txt,3,Optimal,Proved,-110.035,65.762,37,0,0,823
instance_F10_C30__MU200__0.txt,4,Optimal,Proved,-0,85.7506,209,0,0,1605
instance_F10_C30__MU200__1.txt,2,Optimal,Proved,-242.283,20.6745,21,0,0,296
instance_F10_C30__MU200__1.txt,3,Optimal,Proved,-21.1594,26.0205,27,0,0,338
instance_F10_C30__MU200__1.txt,4,Optimal,Proved,-0,42.884,111,0,0,770
instance_F10_C30__MU200__2.txt,2,Optimal,Proved,-0,4.57676,15,0,0,96
instance_F10_C30__MU200__2.txt,3,Optimal,Proved,-0,4.13832,13,0,0,78
instance_F10_C30__MU200__2.txt,4,Optimal,Proved,-0,1.62553,3,0,0,32
instance_F10_C30__MU200__3.txt,2,Optimal,Proved,-200.93,30.9655,31,0,0,403
instance_F10_C30__MU200__3.txt,3,Optimal,Proved,-23.9674,31.4177,47,0,0,555
instance_F10_C30__MU200__3.txt,4,Optimal,Proved,-0,67.6367,187,0,0,1277
instance_F10_C30__MU200__4.txt,2,Optimal,Proved,-336.689,75.4597,51,0,0,749
instance_F10_C30__MU200__4.txt,3,Optimal,Proved,-138.607,82.48,35,0,0,676
instance_F10_C30__MU200__4.txt,4,Optimal,Proved,-0,123.238,279,0,0,1821
instance_F10_C30__MU200__5.txt,2,Optimal,Proved,-515.131,54.07,25,0,0,485
instance_F10_C30__MU200__5.txt,3,Optimal,Proved,-341.92,180.978,39,0,0,1062
instance_F10_C30__MU200__5.txt,4,Optimal,Proved,-175.273,314.104,79,0,0,2286
instance_F10_C30__MU200__6.txt,2,Optimal,Proved,-6.85377,191.407,77,0,0,931
instance_F10_C30__MU200__6.txt,3,Optimal,Proved,-0,150.162,107,0,0,755
instance_F10_C30__MU200__6.txt,4,Optimal,Proved,-0,66.7751,73,0,0,465
instance_F10_C30__MU200__7.txt,2,Optimal,Proved,-275.305,46.1901,35,0,0,525
instance_F10_C30__MU200__7.txt,3,Optimal,Proved,-66.3916,51.8563,33,0,0,616
instance_F10_C30__MU200__7.txt,4,Optimal,Proved,-0,132.269,289,0,0,1963
instance_F10_C30__MU200__8.txt,2,Optimal,Proved,-482.857,99.991,29,0,0,518
instance_F10_C30__MU200__8.txt,3,Optimal,Proved,-294.504,109.559,23,0,0,522
instance_F10_C30__MU200__8.txt,4,Optimal,Proved,-107.786,191.266,97,0,0,1753
